event	geneName
se@15:57356021:57364851:+|15:57356021:57383987:+	TCF12
se@15:59971033:59971791:-|15:59970286:59971791:-	BNIP2
se@15:60969431:60970856:-|15:60824050:60970856:-	RORA
se@15:63353138:63353397:+|15:63353138:63353912:+	TPM1
se@15:65748179:65748563:-|15:65746753:65748563:-	DPP8
se@15:72767355:72789132:+|15:72767355:72810408:+	ARIH1
se@15:93540633:93541368:+|15:93540633:93541729:+	CHD2
se@15:93540633:93541379:+|15:93540633:93541729:+	CHD2
se@16:18911366:18937272:-|16:18908278:18937272:-	SMG1
se@16:278401:278700:-|16:277335:278700:-	LUC7L
se@16:278401:279278:-|16:277335:279278:-	LUC7L
se@16:2818262:2818506:+|16:2818262:2818998:+	SRRM2
se@16:2819285:2819863:+|16:2819285:2820353:+	SRRM2
se@16:29580649:29606208:-|16:29577570:29606208:-	RP11-345J4.8
se@16:53256667:53257362:+|16:53256667:53260278:+	CHD9
se@16:69154552:69154956:-|16:69152428:69154956:-	CHTF8
se@16:69660431:69680420:+|16:69660431:69680931:+	NFAT5
se@16:70582345:70584553:+|16:70582345:70588349:+	SF3B3
se@16:71901940:71913810:-|16:71898951:71913810:-	ZNF821
se@16:9023400:9024150:-|16:9017270:9024150:-	USP7
se@17:25633908:25634770:+|17:25633908:25636126:+	WSB1
se@17:27211333:27212875:-|17:27210249:27212875:-	FLOT2
se@17:27212965:27215963:-|17:27211333:27215963:-	FLOT2
se@17:27238402:27239500:-|17:27238255:27239500:-	PHF12
se@17:29576137:29579956:+|17:29576137:29584705:+	NF1
se@17:30696801:30697019:+|17:30696801:30700418:+	ZNF207
se@17:36367486:36375100:-|17:36365176:36375100:-	RP11-1407O15.2
se@17:38285880:38287473:+|17:38285880:38287790:+	MSL1
se@17:3920068:3920665:-|17:3919760:3920665:-	ZZEF1
se@17:3974740:3975902:-|17:3974218:3975902:-	ZZEF1
se@17:40139712:40139837:-|17:40135654:40139837:-	DNAJC7
se@17:40739882:40744074:-|17:40738909:40744074:-	FAM134C
se@17:45600429:45608783:+|17:45600429:45623275:+	NPEPPS
se@17:45646860:45654411:+|17:45646860:45656756:+	NPEPPS
se@17:45646860:45654447:+|17:45646860:45656756:+	NPEPPS
se@17:45663111:45663514:+|17:45663111:45663731:+	NPEPPS
se@17:48797192:48800025:+|17:48797192:48814321:+	LUC7L3
se@17:48828213:48828658:+|17:48828213:48829561:+	LUC7L3
se@17:49286791:49294695:-|17:49284366:49294695:-	MBTD1
se@17:57970686:57971157:+|17:57970686:57987923:+	RPS6KB1
se@17:58007535:58007719:+|17:58007535:58008983:+	RPS6KB1
se@17:58007535:58008161:+|17:58007535:58008983:+	RPS6KB1
se@17:74717433:74717880:-|17:74716580:74717880:-	JMJD6
se@17:74731957:74732236:-|17:74731240:74732236:-	SRSF2
se@17:79871169:79871650:-|17:79870490:79871650:-	SIRT7
se@17:79874015:79875491:-|17:79873557:79875491:-	SIRT7
se@18:19120661:19140820:-|18:19119970:19140820:-	ESCO1
se@18:22804079:22804309:-|18:22775208:22804309:-	ZNF521
se@18:22907412:22930871:-|18:22902151:22930871:-	ZNF521
se@18:260759:264026:-|18:260304:264026:-	THOC1
se@18:31187640:31196643:+|18:31187640:31206837:+	ASXL3
se@18:31187640:31206826:+|18:31187640:31224858:+	ASXL3
se@18:31263532:31270206:+|18:31263532:31311932:+	ASXL3
se@18:31701280:31709835:-|18:31685124:31709835:-	NOL4
se@18:31708853:31709835:-|18:31685124:31709835:-	NOL4
se@18:34827233:34833730:-|18:34825160:34833730:-	CELF4
se@18:44398410:44400896:-|18:44395312:44400896:-	PIAS2
se@18:51714207:51715244:-|18:51692536:51715244:-	MBD2
se@18:51714224:51715244:-|18:51692536:51715244:-	MBD2
se@18:59942706:59947007:+|18:59942706:59947593:+	KIAA1468
se@18:59947089:59947593:+|18:59947089:59947879:+	KIAA1468
se@18:9195696:9200512:+|18:9195696:9208655:+	ANKRD12
se@18:9221997:9239475:+|18:9221997:9254209:+	ANKRD12
se@19:10794646:10795092:+|19:10794646:10798022:+	ILF3
se@19:13347432:13355996:-|19:13346544:13355996:-	CACNA1A
se@19:14275517:14277828:-|19:14274218:14277828:-	LPHN1
se@19:14521417:14521801:-|19:14521146:14521801:-	DDX39A
se@19:15509514:15510113:-|19:15508666:15510113:-	AKAP8L
se@19:15509577:15510113:-|19:15508666:15510113:-	AKAP8L
se@19:39332322:39334482:-|19:39331199:39334482:-	HNRNPL
se@19:4683336:4683489:-|19:4682850:4683489:-	DPP9
se@19:4715738:4719863:-|19:4714349:4719863:-	DPP9
se@19:4716164:4719863:-|19:4714349:4719863:-	DPP9
se@19:49604728:49605371:+|19:49604728:49607891:+	SNRNP70
se@19:51166426:51169449:-|19:51165939:51169449:-	SHANK1
se@19:56172555:56173137:+|19:56172555:56173868:+	U2AF2
se@2:113410375:113410466:+|2:113410375:113414699:+	SLC20A1
se@2:114212355:114214642:+|2:114212355:114218250:+	CBWD2
se@2:135700244:135703357:+|2:135700244:135703671:+	CCNT2
se@2:135700244:135703459:+|2:135700244:135703671:+	CCNT2
se@2:152828218:152830183:-|2:152739884:152830183:-	CACNB4
se@2:153549990:153551056:-|2:153549582:153551056:-	PRPF40A
se@2:153571143:153572509:-|2:153551136:153572509:-	PRPF40A
se@2:153571156:153572509:-|2:153551136:153572509:-	PRPF40A
se@2:159389828:159389950:+|2:159389828:159433783:+	PKP4
se@2:162036272:162059374:+|2:162036272:162059998:+	TANK
se@2:162061304:162072900:+|2:162061304:162080426:+	TANK
se@2:162088062:162089306:+|2:162088062:162091853:+	TANK
se@2:162757521:162758538:+|2:162757521:162760514:+	SLC4A10
se@2:170865450:170870351:+|2:170865450:170871791:+	UBR3
se@2:171693393:171699079:+|2:171693393:171700555:+	GAD1
se@2:171704302:171705193:+|2:171704302:171705796:+	GAD1
se@2:171879639:171884849:-|2:171871458:171884849:-	TLK1
se@2:172704786:172712344:-|2:172701018:172712344:-	SLC25A12
se@2:172709198:172712344:-|2:172704786:172712344:-	SLC25A12
se@2:175939815:175945388:-|2:175939595:175945388:-	ATF2
se@2:175986268:175994866:-|2:175983097:175994866:-	ATF2
se@2:177134397:177134944:+|2:177134397:177161588:+	MTX2
se@2:177162623:177168969:+|2:177162623:177188120:+	MTX2
se@2:191775047:191777919:+|2:191775047:191785750:+	GLS
se@2:191778090:191784941:+|2:191778090:191785750:+	GLS
se@2:198283675:198285152:-|2:198283312:198285152:-	SF3B1
se@2:201886837:201887554:-|2:201881893:201887554:-	FAM126B
se@2:20526146:20527071:-|2:20518406:20527071:-	PUM2
se@2:208440178:208441355:+|2:208440178:208442229:+	CREB1
se@2:213886444:213886717:-|2:213878658:213886717:-	IKZF2
se@2:213921468:213921557:-|2:213914604:213921557:-	IKZF2
se@2:213945962:214012432:-|2:213921823:214012432:-	IKZF2
se@2:213962684:214012432:-|2:213921823:214012432:-	IKZF2
se@2:222433505:222436878:-|2:222429114:222436878:-	EPHA4
se@2:225421106:225422376:-|2:225400358:225422376:-	CUL3
se@2:225421137:225422376:-|2:225400358:225422376:-	CUL3
se@2:24050730:24051719:-|2:24046439:24051719:-	ATAD2B
se@2:27291612:27291916:+|2:27291612:27292441:+	AGBL5
se@2:32108531:32142995:-|2:32095021:32142995:-	MEMO1
se@2:32117203:32142995:-|2:32095021:32142995:-	MEMO1
se@2:32118390:32142995:-|2:32117203:32142995:-	MEMO1
se@2:32800433:32815873:+|2:32800433:32818982:+	BIRC6
se@2:38805144:38809055:-|2:38804674:38809055:-	HNRPLL
se@2:38974272:38975189:-|2:38973889:38975189:-	SRSF7
se@2:38976315:38976671:-|2:38975795:38976671:-	SRSF7
se@2:38976488:38976671:-|2:38975795:38976671:-	SRSF7
se@2:40405633:40655613:-|2:40404995:40655613:-	SLC8A1
se@2:54141068:54146288:-|2:54137267:54146288:-	PSME4
se@2:63486544:63540383:-|2:63401967:63540383:-	WDPCP
se@2:64141059:64141316:-|2:64140444:64141316:-	VPS54
se@2:65467096:65469106:+|2:65467096:65473658:+	ACTR2
se@2:65467096:65469180:+|2:65467096:65473658:+	ACTR2
se@2:70452525:70454867:-|2:70451761:70454867:-	TIA1
se@2:70455594:70456191:-|2:70454954:70456191:-	TIA1
se@2:74685798:74685959:+|2:74685798:74686565:+	WBP1
se@2:74685798:74686124:+|2:74685798:74686565:+	WBP1
se@2:74685798:74686124:+|2:74685798:74686605:+	WBP1
se@20:10265420:10273530:+|20:10265420:10273809:+	SNAP25
se@20:10273647:10273809:+|20:10273647:10277573:+	SNAP25
se@20:13597770:13604093:-|20:13568017:13604093:-	TASP1
se@20:2969120:2979977:+|20:2969120:2985702:+	PTPRA
se@20:34317449:34319863:-|20:34317284:34319863:-	RBM39
se@20:34322179:34324435:-|20:34320057:34324435:-	RBM39
se@20:34322179:34326890:-|20:34320057:34326890:-	RBM39
se@20:34324489:34326890:-|20:34320057:34326890:-	RBM39
se@20:34327469:34328746:-|20:34326939:34328746:-	RBM39
se@20:34328519:34328746:-|20:34326939:34328746:-	RBM39
se@20:35125469:35127645:+|20:35125469:35127991:+	DLGAP4
se@20:35127724:35127991:+|20:35127724:35128602:+	DLGAP4
se@20:40114979:40116305:-|20:40113247:40116305:-	CHD6
se@20:42087149:42087793:+|20:42087149:42088411:+	SRSF6
se@20:42087149:42087945:+|20:42087149:42088411:+	SRSF6
se@20:43530474:43531539:+|20:43530474:43532634:+	YWHAB
se@20:43530474:43531677:+|20:43530474:43532634:+	YWHAB
se@20:5548488:5550793:-|20:5548206:5550793:-	GPCPD1
se@20:5572532:5573973:-|20:5564968:5573973:-	GPCPD1
se@20:5580109:5585010:-|20:5579467:5585010:-	GPCPD1
se@21:11029717:11038728:-|21:11026839:11038728:-	TPTE
se@21:34941393:34944857:+|21:34941393:34945614:+	SON
se@21:35172233:35174741:+|21:35172233:35183279:+	ITSN1
se@21:35199167:35201272:+|21:35199167:35201928:+	ITSN1
se@21:44520629:44521476:-|21:44515853:44521476:-	U2AF1
se@21:44521542:44524425:-|21:44520629:44524425:-	U2AF1
se@22:29639478:29650192:+|22:29639478:29651260:+	EMID1
se@22:30221696:30228234:-|22:30221246:30228234:-	ASCC2
se@22:30223589:30228234:-|22:30221769:30228234:-	ASCC2
se@22:35659867:35659975:+|22:35659867:35660641:+	HMGXB4
se@22:38885463:38888061:-|22:38884120:38888061:-	DDX17
se@22:50181535:50187682:-|22:50181142:50187682:-	BRD1
se@22:50214634:50216599:-|22:50212031:50216599:-	BRD1
se@3:101293123:101295544:+|3:101293123:101298634:+	PCNP
se@3:101293123:101298433:+|3:101293123:101298686:+	PCNP
se@3:119154782:119155638:-|3:119153729:119155638:-	TMEM39A
se@3:122176695:122180071:-|3:122172848:122180071:-	KPNA1
se@3:132202421:132203207:+|3:132202421:132203432:+	DNAJC13
se@3:140682069:140685776:+|3:140682069:140689769:+	SLC25A36
se@3:140682069:140685842:+|3:140682069:140689769:+	SLC25A36
se@3:150140907:150155985:+|3:150140907:150174863:+	TSC22D2
se@3:152163328:152173331:+|3:152163328:152174056:+	MBNL1
se@3:152174150:152175798:+|3:152174150:152177060:+	MBNL1
se@3:152174150:152175919:+|3:152174150:152177060:+	MBNL1
se@3:156869719:156869966:-|3:156868170:156869966:-	CCNL1
se@3:156874872:156876655:-|3:156870945:156876655:-	CCNL1
se@3:179613950:179615930:-|3:179605572:179615930:-	PEX5L
se@3:183660303:183660515:-|3:183655848:183660515:-	ABCC5
se@3:183703243:183705558:-|3:183702682:183705558:-	ABCC5
se@3:185649640:185655613:-|3:185644522:185655613:-	TRA2B
se@3:186505671:186506099:+|3:186505671:186506914:+	EIF4A2
se@3:196802741:196803457:-|3:196796131:196803457:-	DLG1
se@3:196803553:196807922:-|3:196802741:196807922:-	DLG1
se@3:19992553:20012040:+|3:19992553:20017093:+	RAB5A
se@3:33432132:33434055:-|3:33431860:33434055:-	UBP1
se@3:33438370:33438537:-|3:33437772:33438537:-	UBP1
se@3:33457592:33458250:-|3:33454319:33458250:-	UBP1
se@3:35748574:35748943:+|3:35748574:35750461:+	ARPP21
se@3:42661200:42661508:+|3:42661200:42662921:+	NKTR
se@3:42663008:42668692:+|3:42663008:42672038:+	NKTR
se@3:47122573:47125210:-|3:47108608:47125210:-	SETD2
se@3:47859607:47860726:+|3:47859607:47868837:+	DHX30
se@3:48732240:48732523:-|3:48731958:48732523:-	IP6K2
se@3:48732257:48732523:-|3:48731673:48732523:-	IP6K2
se@3:48732274:48732523:-|3:48731958:48732523:-	IP6K2
se@3:48965246:48982569:+|3:48965246:48999045:+	ARIH2
se@3:52504923:52505307:+|3:52504923:52505830:+	NISCH
se@3:52514311:52514895:+|3:52514311:52518529:+	NISCH
se@3:52519843:52520486:+|3:52519843:52521212:+	NISCH
se@3:71021331:71021706:-|3:71019956:71021706:-	FOXP1
se@3:71021827:71026092:-|3:71021331:71026092:-	FOXP1
se@3:77612480:77613601:+|3:77612480:77614105:+	ROBO2
se@3:9470693:9471511:+|3:9470693:9475054:+	SETD5
se@3:9470693:9475054:+|3:9470693:9475529:+	SETD5
se@3:9475634:9475729:+|3:9475634:9475961:+	SETD5
se@3:9476169:9476274:+|3:9476169:9476508:+	SETD5
se@3:9490314:9491164:+|3:9490314:9495423:+	SETD5
se@4:115877126:115891586:-|4:115858659:115891586:-	NDST4
se@4:115898430:116034600:-|4:115891740:116034600:-	NDST4
se@4:140275252:140277643:+|4:140275252:140278540:+	NAA15
se@4:158281295:158281861:+|4:158281295:158282162:+	GRIA2
se@4:158281295:158282162:+|4:158281295:158282690:+	GRIA2
se@4:158282276:158282690:+|4:158282276:158283951:+	GRIA2
se@4:158282276:158282710:+|4:158282276:158283951:+	GRIA2
se@4:16191893:16192984:-|4:16189978:16192984:-	TAPT1
se@4:16198346:16204085:-|4:16193146:16204085:-	TAPT1
se@4:16216185:16227497:-|4:16215521:16227497:-	TAPT1
se@4:175177296:175180850:-|4:175162369:175180850:-	FBXO8
se@4:186605996:186611716:-|4:186599976:186611716:-	SORBS2
se@4:44716676:44719130:-|4:44713154:44719130:-	GNPDA2
se@4:57164515:57167392:+|4:57164515:57173701:+	KIAA1211
se@4:83276154:83276457:-|4:83275307:83276457:-	HNRNPD
se@4:83346820:83347190:-|4:83346036:83347190:-	HNRPDL
se@4:83350039:83350401:-|4:83349599:83350401:-	HNRPDL
se@4:89192341:89198295:-|4:89190058:89198295:-	PPM1K
se@4:89195606:89198295:-|4:89190058:89198295:-	PPM1K
se@4:89195637:89198295:-|4:89190058:89198295:-	PPM1K
se@4:99214666:99218069:+|4:99214666:99264290:+	RAP1GDS1
se@4:99273752:99300168:+|4:99273752:99308587:+	RAP1GDS1
se@4:99273752:99308587:+|4:99273752:99313103:+	RAP1GDS1
se@4:99300314:99308587:+|4:99300314:99313103:+	RAP1GDS1
se@5:134124281:134124906:+|5:134124281:134126160:+	DDX46
se@5:134124281:134125796:+|5:134124281:134126160:+	DDX46
se@5:134688735:134696187:-|5:134686603:134696187:-	H2AFY
se@5:137493583:137495244:-|5:137492956:137495244:-	BRD8
se@5:137499332:137499776:-|5:137499033:137499776:-	BRD8
se@5:137499822:137500009:-|5:137499332:137500009:-	BRD8
se@5:137673996:137676873:+|5:137673996:137677498:+	FAM53C
se@5:138609854:138610053:+|5:138609854:138611810:+	MATR3
