PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic	PE_HGVS	element_HGVS
chr1	16450124	16450240	PE_1_of_1_in_NM_018090.5_intron_4_0_chr1_16449202_f	NMD_in	NECAP2	NECAP2	chr1	16449201	16451837	NM_018090.5_intron_4_0_chr1_16449202_f	611624	NA	NA	NA	NA	NC_000001.11:g.16450125_16450240	NC_000001.11:g.16449202_16451837
chr1	19139797	19139879	PE_1_of_1_in_NM_020765.3_intron_47_0_chr1_19139221_r	NMD_in	UBR4	UBR4, ZUBR1, RBAF600, KIAA1307	chr1	19139220	19140787	NM_020765.3_intron_47_0_chr1_19139221_r	609890	NA	NA	NA	NA	NC_000001.11:g.19139798_19139879	NC_000001.11:g.19139221_19140787
chr1	19484189	19484332	PE_1_of_1_in_NM_004930.5_intron_7_0_chr1_19419751_r	NMD_in	CAPZB	CAPZB, CAPPB	chr1	19419750	19485435	NM_004930.5_intron_7_0_chr1_19419751_r	601572	NA	NA	NA	NA	NC_000001.11:g.19484190_19484332	NC_000001.11:g.19419751_19485435
chr1	19747477	19747490	PE_1_of_1_in_NM_181719.7_intron_8_0_chr1_19747261_r	NMD_in	TMCO4	NA	chr1	19747260	19755633	NM_181719.7_intron_8_0_chr1_19747261_r	NA	NA	NA	NA	NA	NC_000001.11:g.19747478_19747490	NC_000001.11:g.19747261_19755633
chr1	19778653	19778830	PE_1_of_1_in_NM_181719.7_intron_11_0_chr1_19771483_r	NMD_in	TMCO4	NA	chr1	19771482	19780579	NM_181719.7_intron_11_0_chr1_19771483_r	NA	NA	NA	NA	NA	NC_000001.11:g.19778654_19778830	NC_000001.11:g.19771483_19780579
chr1	20941258	20941394	PE_1_of_1_in_NM_001391906.1_intron_22_0_chr1_20904972_r	NMD_in	EIF4G3	EIF4G3, EIF4GII	chr1	20904971	20941490	NM_001391906.1_intron_22_0_chr1_20904972_r	603929	NA	NA	NA	NA	NC_000001.11:g.20941259_20941394	NC_000001.11:g.20904972_20941490
chr1	21725342	21725393	PE_1_of_1_in_NM_032236.8_intron_15_0_chr1_21724096_r	NMD_in	USP48	USP48, USP31	chr1	21724095	21728569	NM_032236.8_intron_15_0_chr1_21724096_r	617445	NA	NA	NA	NA	NC_000001.11:g.21725343_21725393	NC_000001.11:g.21724096_21728569
chr1	24647078	24647207	PE_1_of_1_in_NM_005839.4_intron_2_0_chr1_24646790_f	NMD_in	SRRM1	SRRM1, SRM160	chr1	24646789	24648858	NM_005839.4_intron_2_0_chr1_24646790_f	605975	NA	NA	NA	NA	NC_000001.11:g.24647079_24647207	NC_000001.11:g.24646790_24648858
chr1	24654305	24654342	PE_1_of_1_in_NM_005839.4_intron_7_0_chr1_24653033_f	NMD_in	SRRM1	SRRM1, SRM160	chr1	24653032	24654854	NM_005839.4_intron_7_0_chr1_24653033_f	605975	NA	NA	NA	NA	NC_000001.11:g.24654306_24654342	NC_000001.11:g.24653033_24654854
chr1	25244453	25244497	PE_1_of_1_in_NM_020317.5_intron_1_0_chr1_25243634_r	NMD_in	RSRP1	NA	chr1	25243633	25245149	NM_020317.5_intron_1_0_chr1_25243634_r	NA	NA	NA	NA	NA	NC_000001.11:g.25244454_25244497	NC_000001.11:g.25243634_25245149
chr1	25447874	25448181	PE_1_of_1_in_NM_018202.6_intron_1_0_chr1_25446904_f	NMD_in	MACO1	TMEM57, FLJ10747	chr1	25446903	25448807	NM_018202.6_intron_1_0_chr1_25446904_f	610301	NA	NA	NA	NA	NC_000001.11:g.25447875_25448181	NC_000001.11:g.25446904_25448807
chr1	27330984	27331136	PE_1_of_1_in_NM_032125.3_intron_1_0_chr1_27330805_f	NMD_in	TMEM222	TMEM222, C1orf160, NEDMOSBA	chr1	27330804	27332069	NM_032125.3_intron_1_0_chr1_27330805_f	619469	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.27330985_27331136	NC_000001.11:g.27330805_27332069
chr1	27786590	27786796	PE_1_of_1_in_NM_177424.3_intron_0_0_chr1_27773426_f	NMD_in	STX12	STX12, STX13	chr1	27773425	27789561	NM_177424.3_intron_0_0_chr1_27773426_f	606892	NA	NA	NA	NA	NC_000001.11:g.27786591_27786796	NC_000001.11:g.27773426_27789561
chr1	27998283	27998350	PE_1_of_1_in_NM_001990.4_intron_5_0_chr1_27997379_r	NMD_in	EYA3	EYA3	chr1	27997378	27999959	NM_001990.4_intron_5_0_chr1_27997379_r	601655	NA	NA	NA	NA	NC_000001.11:g.27998284_27998350	NC_000001.11:g.27997379_27999959
chr1	28561112	28561259	PE_1_of_1_in_NM_017846.5_intron_2_0_chr1_28560733_f	NMD_in	TRNAU1AP	TRNAU1AP	chr1	28560732	28561345	NM_017846.5_intron_2_0_chr1_28560733_f	619597	NA	NA	NA	NA	NC_000001.11:g.28561113_28561259	NC_000001.11:g.28560733_28561345
chr1	28989355	28989438	PE_1_of_1_in_NM_001376013.1_intron_1_0_chr1_28987906_f	NMD_in	EPB41	EPB41, EL1	chr1	28987905	28993329	NM_001376013.1_intron_1_0_chr1_28987906_f	130500	Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA	NC_000001.11:g.28989356_28989438	NC_000001.11:g.28987906_28993329
chr1	29166728	29166911	PE_1_of_1_in_NM_005626.5_intron_4_0_chr1_29160518_r	NMD_in	SRSF4	SRSF4, SFRS4, SRp75	chr1	29160517	29181645	NM_005626.5_intron_4_0_chr1_29160518_r	601940	NA	NA	NA	NA	NC_000001.11:g.29166729_29166911	NC_000001.11:g.29160518_29181645
chr1	29202617	29202666	PE_1_of_1_in_NM_016011.5_intron_4_0_chr1_29202046_r	NMD_in	MECR	MECR, NRBF1, DYTOABG	chr1	29202045	29203130	NM_016011.5_intron_4_0_chr1_29202046_r	608205	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.29202618_29202666	NC_000001.11:g.29202046_29203130
chr1	31184976	31185059	PE_1_of_1_in_NM_024522.3_intron_3_0_chr1_31184015_r	NMD_in	NKAIN1	NKAIN1	chr1	31184014	31185246	NM_024522.3_intron_3_0_chr1_31184015_r	612871	NA	NA	NA	NA	NC_000001.11:g.31184977_31185059	NC_000001.11:g.31184015_31185246
chr1	31620678	31620693	PE_1_of_1_in_NM_001525.3_intron_3_0_chr1_31619711_f	NMD_in	HCRTR1	HCRTR1, OX1R	chr1	31619710	31620842	NM_001525.3_intron_3_0_chr1_31619711_f	602392	NA	NA	NA	NA	NC_000001.11:g.31620679_31620693	NC_000001.11:g.31619711_31620842
chr1	32076563	32076645	PE_1_of_1_in_NM_018056.4_intron_2_0_chr1_32075823_f	NMD_in	TMEM39B	NA	chr1	32075822	32076762	NM_018056.4_intron_2_0_chr1_32075823_f	NA	NA	Rare Single Gene Mutation	2	0	NC_000001.11:g.32076564_32076645	NC_000001.11:g.32075823_32076762
chr1	33272503	33272552	PE_1_of_1_in_NM_152493.3_intron_1_0_chr1_33270613_f	NMD_in	ZNF362	NA	chr1	33270612	33276099	NM_152493.3_intron_1_0_chr1_33270613_f	NA	NA	NA	NA	NA	NC_000001.11:g.33272504_33272552	NC_000001.11:g.33270613_33276099
chr1	35099350	35099446	PE_1_of_1_in_NM_024772.5_intron_3_0_chr1_35097567_f	NMD_in	ZMYM1	NA	chr1	35097566	35104294	NM_024772.5_intron_3_0_chr1_35097567_f	NA	NA	NA	NA	NA	NC_000001.11:g.35099351_35099446	NC_000001.11:g.35097567_35104294
chr1	35368253	35368366	PE_1_of_1_in_NM_005095.3_intron_4_0_chr1_35361790_f	NMD_in	ZMYM4	ZMYM4, ZNF262, KIAA0425	chr1	35361789	35370028	NM_005095.3_intron_4_0_chr1_35361790_f	613568	NA	NA	NA	NA	NC_000001.11:g.35368254_35368366	NC_000001.11:g.35361790_35370028
chr1	35559806	35559863	PE_1_of_1_in_NM_014284.3_intron_1_0_chr1_35559248_f	NMD_in	NCDN	NCDN, KIAA0607, NEDIES	chr1	35559247	35560325	NM_014284.3_intron_1_0_chr1_35559248_f	608458	Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant	NA	NA	NA	NC_000001.11:g.35559807_35559863	NC_000001.11:g.35559248_35560325
chr1	35616078	35616234	PE_1_of_1_in_NM_002794.5_intron_2_0_chr1_35609409_r	NMD_in	PSMB2	PSMB2	chr1	35609408	35631273	NM_002794.5_intron_2_0_chr1_35609409_r	602175	NA	NA	NA	NA	NC_000001.11:g.35616079_35616234	NC_000001.11:g.35609409_35631273
chr1	35982620	35982711	PE_1_of_1_in_NM_024852.4_intron_4_0_chr1_35973512_f	NMD_in	AGO3	AGO3, EIF2C3	chr1	35973511	36004340	NM_024852.4_intron_4_0_chr1_35973512_f	607355	NA	Rare Single Gene Mutation	2	0	NC_000001.11:g.35982621_35982711	NC_000001.11:g.35973512_36004340
chr1	36005718	36005857	PE_1_of_1_in_NM_024852.4_intron_5_0_chr1_36004476_f	NMD_in	AGO3	AGO3, EIF2C3	chr1	36004475	36008689	NM_024852.4_intron_5_0_chr1_36004476_f	607355	NA	Rare Single Gene Mutation	2	0	NC_000001.11:g.36005719_36005857	NC_000001.11:g.36004476_36008689
chr1	36284087	36284304	PE_1_of_1_in_NM_005119.4_intron_2_0_chr1_36282701_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36282700	36286367	NM_005119.4_intron_2_0_chr1_36282701_f	603809	NA	NA	NA	NA	NC_000001.11:g.36284088_36284304	NC_000001.11:g.36282701_36286367
chr1	36288548	36288756	PE_1_of_1_in_NM_005119.4_intron_3_0_chr1_36287271_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36287270	36289059	NM_005119.4_intron_3_0_chr1_36287271_f	603809	NA	NA	NA	NA	NC_000001.11:g.36288549_36288756	NC_000001.11:g.36287271_36289059
chr1	36294049	36294240	PE_1_of_1_in_NM_005119.4_intron_7_0_chr1_36293936_f	NMD_in	THRAP3	THRAP3, TRAP150	chr1	36293935	36296582	NM_005119.4_intron_7_0_chr1_36293936_f	603809	NA	NA	NA	NA	NC_000001.11:g.36294050_36294240	NC_000001.11:g.36293936_36296582
chr1	37496546	37496603	PE_1_of_1_in_NM_001270875.3_intron_1_0_chr1_37495919_r	NMD_in	MEAF6	MEAF6, C1orf149, EAF6	chr1	37495918	37501803	NM_001270875.3_intron_1_0_chr1_37495919_r	611001	NA	NA	NA	NA	NC_000001.11:g.37496547_37496603	NC_000001.11:g.37495919_37501803
chr1	37864553	37864691	PE_1_of_1_in_NM_005540.3_intron_1_0_chr1_37864424_r	NMD_in	INPP5B	INPP5B	chr1	37864423	37865760	NM_005540.3_intron_1_0_chr1_37864424_r	147264	NA	NA	NA	NA	NC_000001.11:g.37864554_37864691	NC_000001.11:g.37864424_37865760
chr1	39328600	39328705	PE_1_of_1_in_NM_001394062.1_intron_35_0_chr1_39327354_f	NMD_in	MACF1	MACF1, ACF7, KIAA1251, LIS9	chr1	39327353	39331202	NM_001394062.1_intron_35_0_chr1_39327354_f	608271	Lissencephaly 9 with complex brainstem malformation, 618325 (3), Autosomal dominant	NA	NA	NA	NC_000001.11:g.39328601_39328705	NC_000001.11:g.39327354_39331202
chr1	41152598	41152740	PE_1_of_1_in_NM_001394311.1_intron_11_0_chr1_41151685_r	NMD_in	SCMH1	SCMH1	chr1	41151684	41160874	NM_001394311.1_intron_11_0_chr1_41151685_r	616396	NA	NA	NA	NA	NC_000001.11:g.41152599_41152740	NC_000001.11:g.41151685_41160874
chr1	42396439	42396499	PE_1_of_1_in_NM_173642.4_intron_0_0_chr1_42381098_f	NMD_in	RIMKLA	RIMKLA, NAAGS2	chr1	42381097	42399403	NM_173642.4_intron_0_0_chr1_42381098_f	618949	NA	NA	NA	NA	NC_000001.11:g.42396440_42396499	NC_000001.11:g.42381098_42399403
chr1	42756400	42756454	PE_1_of_1_in_NM_022356.4_intron_9_0_chr1_42755638_r	NMD_in	P3H1	P3H1, LEPRE1, GROS1, OI8	chr1	42755637	42757782	NM_022356.4_intron_9_0_chr1_42755638_r	610339	Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.42756401_42756454	NC_000001.11:g.42755638_42757782
chr1	42949504	42949634	PE_1_of_1_in_NM_006516.4_intron_8_0_chr1_42943322_r	NMD_in	SLC2A1	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN	chr1	42943321	42958633	NM_006516.4_intron_8_0_chr1_42943322_r	138140	Dystonia 9, 601042 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant	NA	NA	NA	NC_000001.11:g.42949505_42949634	NC_000001.11:g.42943322_42958633
chr1	43416719	43416782	PE_1_of_1_in_NM_001365999.1_intron_6_0_chr1_43416642_f	NMD_in	SZT2	SZT2, KIAA0467, DEE18	chr1	43416641	43419733	NM_001365999.1_intron_6_0_chr1_43416642_f	615463	Developmental and epileptic encephalopathy 18, 615476 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.43416720_43416782	NC_000001.11:g.43416642_43419733
chr1	43690625	43690684	PE_1_of_1_in_NM_014663.3_intron_12_0_chr1_43689096_f	NMD_in	KDM4A	KDM4A, JMJD2A, JHDM3A, KIAA0677	chr1	43689095	43690844	NM_014663.3_intron_12_0_chr1_43689096_f	609764	NA	NA	NA	NA	NC_000001.11:g.43690626_43690684	NC_000001.11:g.43689096_43690844
chr1	44236885	44237008	PE_1_of_1_in_NM_024066.3_intron_0_0_chr1_44221641_r	NMD_in	ERI3	PRNPIP, PINT1	chr1	44221640	44247938	NM_024066.3_intron_0_0_chr1_44221641_r	609917	NA	NA	NA	NA	NC_000001.11:g.44236886_44237008	NC_000001.11:g.44221641_44247938
chr1	44314289	44314483	PE_1_of_1_in_NM_024066.3_intron_4_0_chr1_44313229_r	NMD_in	ERI3	PRNPIP, PINT1	chr1	44313228	44319627	NM_024066.3_intron_4_0_chr1_44313229_r	609917	NA	NA	NA	NA	NC_000001.11:g.44314290_44314483	NC_000001.11:g.44313229_44319627
chr1	44632754	44632894	PE_1_of_1_in_NM_018150.4_intron_5_0_chr1_44632386_f	NMD_in	RNF220	RNF220, HLD23	chr1	44632385	44635544	NM_018150.4_intron_5_0_chr1_44632386_f	616136	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.44632755_44632894	NC_000001.11:g.44632386_44635544
chr1	44643746	44643892	PE_1_of_1_in_NM_018150.4_intron_7_0_chr1_44636163_f	NMD_in	RNF220	RNF220, HLD23	chr1	44636162	44644697	NM_018150.4_intron_7_0_chr1_44636163_f	616136	Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy, 619688 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.44643747_44643892	NC_000001.11:g.44636163_44644697
chr1	44673649	44673740	PE_1_of_1_in_NM_024587.4_intron_1_0_chr1_44660296_r	NMD_in	TMEM53	TMEM53, NET4, CTDI	chr1	44660295	44674330	NM_024587.4_intron_1_0_chr1_44660296_r	619722	Craniotubular dysplasia, Ikegawa type, 619727 (3), Autosomal recessive	NA	NA	NA	NC_000001.11:g.44673650_44673740	NC_000001.11:g.44660296_44674330
chr1	46349976	46350099	PE_1_of_1_in_NM_199044.4_intron_2_0_chr1_46347076_f	NMD_in	NSUN4	NSUN4	chr1	46347075	46352867	NM_199044.4_intron_2_0_chr1_46347076_f	615394	NA	NA	NA	NA	NC_000001.11:g.46349977_46350099	NC_000001.11:g.46347076_46352867
chr1	47995190	47995340	PE_1_of_1_in_NM_001194986.2_intron_5_0_chr1_47994598_r	NMD_in	TRABD2B	TRABD2B, TIKI2	chr1	47994597	47996687	NM_001194986.2_intron_5_0_chr1_47994598_r	614913	NA	NA	NA	NA	NC_000001.11:g.47995191_47995340	NC_000001.11:g.47994598_47996687
chr1	50611833	50611871	PE_1_of_1_in_NM_007051.3_intron_10_0_chr1_50596217_r	NMD_in	FAF1	FAF1, HFAF1	chr1	50596216	50655441	NM_007051.3_intron_10_0_chr1_50596217_r	604460	NA	NA	NA	NA	NC_000001.11:g.50611834_50611871	NC_000001.11:g.50596217_50655441
chr1	50857548	50857669	PE_1_of_1_in_NM_007051.3_intron_16_0_chr1_50801678_r	NMD_in	FAF1	FAF1, HFAF1	chr1	50801677	50857928	NM_007051.3_intron_16_0_chr1_50801678_r	604460	NA	NA	NA	NA	NC_000001.11:g.50857549_50857669	NC_000001.11:g.50801678_50857928
chr1	51420624	51420826	PE_1_of_1_in_NM_001981.3_intron_11_0_chr1_51409697_r	NMD_in	EPS15	EPS15	chr1	51409696	51421785	NM_001981.3_intron_11_0_chr1_51409697_r	600051	NA	NA	NA	NA	NC_000001.11:g.51420625_51420826	NC_000001.11:g.51409697_51421785
chr1	51442816	51442898	PE_1_of_1_in_NM_001981.3_intron_13_0_chr1_51440433_r	NMD_in	EPS15	EPS15	chr1	51440432	51444888	NM_001981.3_intron_13_0_chr1_51440433_r	600051	NA	NA	NA	NA	NC_000001.11:g.51442817_51442898	NC_000001.11:g.51440433_51444888
chr1	51824645	51824792	PE_1_of_1_in_NM_001101662.2_intron_24_0_chr1_51823787_r	NMD_in	NRDC	NRD1	chr1	51823786	51825286	NM_001101662.2_intron_24_0_chr1_51823787_r	602651	NA	NA	NA	NA	NC_000001.11:g.51824646_51824792	NC_000001.11:g.51823787_51825286
chr1	51836368	51836437	PE_1_of_1_in_NM_001101662.2_intron_28_0_chr1_51836213_r	NMD_in	NRDC	NRD1	chr1	51836212	51840225	NM_001101662.2_intron_28_0_chr1_51836213_r	602651	NA	NA	NA	NA	NC_000001.11:g.51836369_51836437	NC_000001.11:g.51836213_51840225
chr1	52361696	52361948	PE_1_of_1_in_NM_001330585.2_intron_21_0_chr1_52361617_r	NMD_in	CC2D1B	NA	chr1	52361616	52362601	NM_001330585.2_intron_21_0_chr1_52361617_r	NA	NA	NA	NA	NA	NC_000001.11:g.52361697_52361948	NC_000001.11:g.52361617_52362601
chr1	52449902	52450059	PE_1_of_1_in_NM_001009881.3_intron_9_0_chr1_52446668_r	NMD_in	TUT4	TUT4, ZCCHC11, KIAA0191	chr1	52446667	52458335	NM_001009881.3_intron_9_0_chr1_52446668_r	613692	NA	NA	NA	NA	NC_000001.11:g.52449903_52450059	NC_000001.11:g.52446668_52458335
chr1	53526159	53526352	PE_1_of_1_in_NM_001367484.1_intron_5_0_chr1_53524888_r	NMD_in	GLIS1	GLIS1	chr1	53524887	53529790	NM_001367484.1_intron_5_0_chr1_53524888_r	610378	NA	Rare Single Gene Mutation, Genetic Association	2	0	NC_000001.11:g.53526160_53526352	NC_000001.11:g.53524888_53529790
chr1	54363271	54363375	PE_1_of_1_in_NM_001009955.4_intron_12_0_chr1_54281528_r	NMD_in	SSBP3	SSBP3	chr1	54281527	54401860	NM_001009955.4_intron_12_0_chr1_54281528_r	607390	NA	NA	NA	NA	NC_000001.11:g.54363272_54363375	NC_000001.11:g.54281528_54401860
chr1	54722310	54722361	PE_1_of_1_in_NM_004623.5_intron_3_0_chr1_54721241_f	NMD_in	TTC4	TTC4	chr1	54721240	54722674	NM_004623.5_intron_3_0_chr1_54721241_f	606753	NA	NA	NA	NA	NC_000001.11:g.54722311_54722361	NC_000001.11:g.54721241_54722674
chr1	55084392	55084420	PE_1_of_1_in_NM_015306.3_intron_11_0_chr1_55083889_r	NMD_in	USP24	USP24, KIAA1057	chr1	55083888	55085941	NM_015306.3_intron_11_0_chr1_55083889_r	610569	NA	NA	NA	NA	NC_000001.11:g.55084393_55084420	NC_000001.11:g.55083889_55085941
chr1	55151911	55151974	PE_1_of_1_in_NM_015306.3_intron_51_0_chr1_55148571_r	NMD_in	USP24	USP24, KIAA1057	chr1	55148570	55153869	NM_015306.3_intron_51_0_chr1_55148571_r	610569	NA	NA	NA	NA	NC_000001.11:g.55151912_55151974	NC_000001.11:g.55148571_55153869
chr1	58515743	58515831	PE_1_of_1_in_NM_145243.5_intron_1_0_chr1_58506210_r	NMD_in	OMA1	OMA1, MPRP1	chr1	58506209	58527260	NM_145243.5_intron_1_0_chr1_58506210_r	617081	NA	NA	NA	NA	NC_000001.11:g.58515744_58515831	NC_000001.11:g.58506210_58527260
chr1	59503255	59503565	PE_1_of_1_in_NM_018291.5_intron_5_0_chr1_59457077_f	NMD_in	FGGY	FGGY, FLJ10986	chr1	59457076	59512310	NM_018291.5_intron_5_0_chr1_59457077_f	611370	NA	NA	NA	NA	NC_000001.11:g.59503256_59503565	NC_000001.11:g.59457077_59512310
chr1	59749090	59749217	PE_1_of_1_in_NM_018291.5_intron_13_0_chr1_59674134_f	NMD_in	FGGY	FGGY, FLJ10986	chr1	59674133	59757930	NM_018291.5_intron_13_0_chr1_59674134_f	611370	NA	NA	NA	NA	NC_000001.11:g.59749091_59749217	NC_000001.11:g.59674134_59757930
chr1	59863825	59863868	PE_1_of_1_in_NM_015888.6_intron_15_0_chr1_59862878_f	NMD_in	HOOK1	HOOK1, HK1	chr1	59862877	59864631	NM_015888.6_intron_15_0_chr1_59862878_f	607820	NA	NA	NA	NA	NC_000001.11:g.59863826_59863868	NC_000001.11:g.59862878_59864631
chr1	61833358	61833377	PE_1_of_1_in_NM_001350145.3_intron_15_0_chr1_61827584_f	NMD_in	PATJ	PATJ, INADL	chr1	61827583	61833653	NM_001350145.3_intron_15_0_chr1_61827584_f	603199	NA	Rare Single Gene Mutation, Genetic Association	2	0	NC_000001.11:g.61833359_61833377	NC_000001.11:g.61827584_61833653
chr1	64780288	64780322	PE_1_of_1_in_NM_001366165.2_intron_2_0_chr1_64778093_f	NMD_in	RAVER2	RAVER2, KIAA1579	chr1	64778092	64781379	NM_001366165.2_intron_2_0_chr1_64778093_f	609953	NA	NA	NA	NA	NC_000001.11:g.64780289_64780322	NC_000001.11:g.64778093_64781379
chr1	64879267	64879369	PE_1_of_1_in_NM_002227.4_intron_21_0_chr1_64879149_r	NMD_in	JAK1	JAK1, AIIDE	chr1	64879148	64883276	NM_002227.4_intron_21_0_chr1_64879149_r	147795	Autoinflammation, immune dysregulation, and eosinophilia, 618999 (3), Autosomal dominant	NA	NA	NA	NC_000001.11:g.64879268_64879369	NC_000001.11:g.64879149_64883276
chr1	66642489	66642556	PE_1_of_1_in_NM_032291.4_intron_4_0_chr1_66639834_f	NMD_in	SGIP1	SGIP1	chr1	66639833	66642809	NM_032291.4_intron_4_0_chr1_66639834_f	611540	NA	NA	NA	NA	NC_000001.11:g.66642490_66642556	NC_000001.11:g.66639834_66642809
chr1	69873466	69873608	PE_1_of_1_in_NM_001370785.2_intron_6_0_chr1_69838284_f	NMD_in	LRRC7	LRRC7, DENSIN, KIAA1365	chr1	69838283	69931506	NM_001370785.2_intron_6_0_chr1_69838284_f	614453	NA	NA	NA	NA	NC_000001.11:g.69873467_69873608	NC_000001.11:g.69838284_69931506
chr1	70023675	70023930	PE_1_of_1_in_NM_001370785.2_intron_16_0_chr1_70023375_f	NMD_in	LRRC7	LRRC7, DENSIN, KIAA1365	chr1	70023374	70028170	NM_001370785.2_intron_16_0_chr1_70023375_f	614453	NA	NA	NA	NA	NC_000001.11:g.70023676_70023930	NC_000001.11:g.70023375_70028170
